player,team,tier,slot,slot_group,pos,pos_class,lineup_src,adj_mean,mean_shr,mean_ud,l15_mean,p20,adj_p20,max_ud,starts,modal_slot,start_rate15,hr_per_start,zeros_rate,mult,stack_score,blocked,pid,elite_power,law_slot_rank,tier_rank,model_rank,law_rank
Christian Yelich,MIL,B,5,1,DH,DH?,POSTED,7.47,8.07,8.38,8.13,0.077,0.071,27.0,91,6,0.67,0.088,0.209,0.926,4.21,False,592885,False,1,1,61,40
Gary Sánchez,MIL,B,6,1,C,IF,POSTED,7.2,7.77,8.07,7.13,0.073,0.068,26.0,55,6,0.53,0.164,0.182,0.926,4.21,False,596142,False,1,1,73,41
Brice Turang,MIL,B,1,2,2B,IF,POSTED,8.27,8.93,9.43,7.07,0.11,0.102,36.0,127,2,0.67,0.126,0.134,0.926,4.21,False,668930,False,3,1,41,42
Garrett Mitchell,MIL,B,2,2,CF,OF,POSTED,7.45,8.04,8.29,6.93,0.066,0.061,32.0,106,7,0.53,0.085,0.179,0.926,4.21,False,669003,False,3,1,63,43
David Hamilton,MIL,B,8,3,3B,IF,POSTED,6.38,6.89,6.69,8.4,0.034,0.031,36.0,89,9,0.6,0.045,0.337,0.926,4.21,False,666152,False,4,1,92,44
Joey Ortiz,MIL,B,9,3,SS,IF,POSTED,6.35,6.86,6.65,8.67,0.033,0.031,32.0,91,8,0.93,0.077,0.22,0.926,4.21,False,687401,False,4,1,95,45
Sal Frelick,MIL,B,7,3,RF,OF,POSTED,6.23,6.73,6.42,6.33,0.038,0.035,25.0,80,7,0.13,0.062,0.225,0.926,4.21,False,686217,False,4,1,101,46
Willson Contreras,BOS,C,4,1,1B,IF,POSTED,11.54,8.89,9.39,9.4,0.105,0.136,31.0,124,4,0.93,0.21,0.113,1.298,5.49,False,575929,True,1,2,2,47
Wilyer Abreu,BOS,C,3,1,RF,OF,POSTED,10.99,8.47,8.81,9.8,0.149,0.193,34.0,134,3,1.0,0.172,0.201,1.298,5.49,False,677800,True,1,2,4,48
Adley Rutschman,BOS,C,5,1,C,IF,POSTED,10.06,7.75,7.95,6.0,0.115,0.149,46.0,78,5,0.67,0.115,0.205,1.298,5.49,False,668939,False,1,2,8,49
Caleb Durbin,BOS,C,6,1,3B,IF,POSTED,9.99,7.7,7.81,8.2,0.065,0.084,35.0,124,6,0.93,0.097,0.218,1.298,5.49,False,702332,False,1,2,12,50
Ceddanne Rafaela,BOS,C,2,2,CF,OF,POSTED,10.83,8.34,8.65,6.8,0.071,0.092,38.0,127,2,0.93,0.126,0.142,1.298,5.49,False,678882,False,3,2,5,51
Roman Anthony,BOS,C,1,2,DH,DH?,POSTED,9.16,7.06,6.66,6.33,0.0,0.0,19.0,29,3,0.0,0.0,0.207,1.298,5.49,False,701350,False,3,2,26,52
Jarren Duran,BOS,C,7,3,LF,OF,POSTED,10.02,7.72,7.84,7.6,0.075,0.097,36.0,120,7,0.73,0.15,0.217,1.298,5.49,False,680776,False,4,2,10,53
Nick Sogard,BOS,C,9,3,2B,IF,POSTED,10.02,7.72,8.1,10.27,0.051,0.066,25.0,39,1,1.0,0.077,0.128,1.298,5.49,False,686765,False,4,2,11,54
Trevor Story,BOS,C,8,3,SS,IF,POSTED,8.83,6.8,6.27,5.8,0.049,0.064,31.0,41,5,0.0,0.073,0.244,1.298,5.49,False,596115,False,4,2,33,55
Miguel Vargas,CWS,C,3,1,3B,IF,POSTED,11.75,9.42,10.06,11.87,0.131,0.163,41.0,130,3,1.0,0.223,0.154,1.247,5.21,False,678246,True,1,2,1,56
Colson Montgomery,CWS,C,6,1,SS,IF,POSTED,9.76,7.83,7.98,6.6,0.103,0.128,32.0,126,6,0.93,0.222,0.262,1.247,5.21,False,695657,False,1,2,15,57
Andrew Benintendi,CWS,C,4,1,DH,DH?,POSTED,9.22,7.39,7.4,7.67,0.103,0.128,30.0,97,4,0.73,0.124,0.227,1.247,5.21,False,643217,False,1,2,23,58
Braden Montgomery,CWS,C,5,1,RF,OF,POSTED,9.19,7.37,7.38,7.67,0.091,0.113,24.0,66,5,0.93,0.076,0.197,1.247,5.21,False,695731,False,1,2,24,59
Munetaka Murakami,CWS,C,2,2,1B,IF,POSTED,11.47,9.2,9.96,7.93,0.163,0.203,41.0,98,2,0.93,0.296,0.143,1.247,5.21,False,808959,True,2,2,3,60
Sam Antonacci,CWS,C,1,2,2B,IF,POSTED,10.05,8.06,8.34,7.93,0.069,0.086,30.0,102,1,0.93,0.078,0.196,1.247,5.21,False,803011,False,3,2,9,61
Tristan Peters,CWS,C,7,3,LF,OF,POSTED,9.05,7.26,7.23,12.07,0.057,0.071,39.0,105,8,0.87,0.105,0.286,1.247,5.21,False,671976,False,4,2,28,62
Brenton Doyle,CWS,C,8,3,CF,OF,POSTED,8.22,6.59,5.86,7.07,0.024,0.03,20.0,42,6,0.27,0.048,0.357,1.247,5.21,False,686668,False,4,2,42,63
Drew Romo,CWS,C,9,3,C,IF,POSTED,7.41,5.94,4.87,4.87,0.019,0.024,33.0,53,9,0.53,0.132,0.377,1.247,5.21,False,691011,False,4,2,64,64
Julio Rodríguez,SEA,C,3,1,CF,OF,POSTED,8.16,7.79,7.93,5.33,0.105,0.11,32.0,124,3,1.0,0.153,0.153,1.047,4.37,False,677594,False,1,2,44,65
Josh Naylor,SEA,C,5,1,1B,IF,POSTED,7.84,7.49,7.54,6.67,0.063,0.066,38.0,126,5,0.93,0.079,0.183,1.047,4.37,False,647304,False,1,2,52,66
Taylor Ward,SEA,C,6,1,RF,OF,POSTED,7.82,7.47,7.5,4.33,0.031,0.032,27.0,131,7,0.6,0.053,0.107,1.047,4.37,False,621493,False,1,2,54,67
Cal Raleigh,SEA,C,4,1,C,IF,POSTED,7.41,7.08,6.97,10.67,0.06,0.063,47.0,100,7,0.93,0.19,0.24,1.047,4.37,False,663728,True,1,2,65,68
Dominic Canzone,SEA,C,2,2,DH,DH?,POSTED,8.2,7.83,8.02,8.73,0.117,0.122,30.0,103,2,0.93,0.194,0.184,1.047,4.37,False,686527,True,2,2,43,69
Randy Arozarena,SEA,C,1,2,LF,OF,POSTED,9.3,8.88,9.36,9.27,0.141,0.148,46.0,128,1,1.0,0.156,0.18,1.047,4.37,False,668227,False,3,2,21,70
J.P. Crawford,SEA,C,8,3,SS,IF,POSTED,7.47,7.13,7.02,5.27,0.069,0.072,37.0,87,8,0.27,0.115,0.218,1.047,4.37,False,641487,False,4,2,62,71
Cole Young,SEA,C,7,3,2B,IF,POSTED,7.33,7.0,6.89,5.27,0.06,0.063,33.0,134,6,0.87,0.119,0.201,1.047,4.37,False,702284,False,4,2,69,72
Brock Rodden,SEA,C,9,3,3B,IF,POSTED,7.09,6.77,4.83,4.83,0.0,0.0,13.0,12,9,0.8,0.0,0.333,1.047,4.37,False,801126,False,4,2,74,73
Esmerlyn Valdez,PIT,C,6,1,RF,OF,POSTED,9.45,8.8,9.71,6.27,0.111,0.119,39.0,63,2,0.8,0.27,0.222,1.074,4.13,False,699013,True,1,2,18,74
Brandon Lowe,PIT,C,5,1,2B,IF,POSTED,9.34,8.7,9.13,7.8,0.119,0.128,37.0,126,2,0.87,0.222,0.151,1.074,4.13,False,664040,False,1,2,20,75
Bryan Reynolds,PIT,C,3,1,LF,OF,POSTED,9.27,8.63,9.01,6.93,0.11,0.118,38.0,136,3,1.0,0.11,0.125,1.074,4.13,False,668804,False,1,2,22,76
Rafael Flores Jr.,PIT,C,4,1,C,IF,POSTED,7.78,7.24,7.04,8.13,0.13,0.14,36.0,23,5,0.87,0.217,0.348,1.074,4.13,False,804668,False,1,2,55,77
Oneil Cruz,PIT,C,2,2,DH,DH?,POSTED,10.54,9.81,11.21,11.73,0.186,0.2,35.0,70,5,0.6,0.243,0.143,1.074,4.13,False,665833,True,2,2,6,78
Jared Triolo,PIT,C,1,2,SS,IF,POSTED,6.57,6.12,5.51,5.27,0.012,0.013,31.0,82,9,0.93,0.024,0.268,1.074,4.13,False,669707,False,3,2,86,79
Jake Mangum,PIT,C,7,3,CF,OF,POSTED,8.3,7.73,7.89,6.07,0.066,0.071,34.0,91,7,0.8,0.044,0.187,1.074,4.13,False,663968,False,4,2,40,80
Spencer Horwitz,PIT,C,8,3,1B,IF,POSTED,7.98,7.43,7.47,3.8,0.047,0.05,26.0,85,1,0.67,0.106,0.153,1.074,4.13,False,687462,False,4,2,49,81
Nick Yorke,PIT,C,9,3,3B,IF,POSTED,7.05,6.56,5.25,4.4,0.0,0.0,17.0,24,8,0.4,0.042,0.375,1.074,4.13,False,694377,False,4,2,76,82
Junior Caminero,TB,C,3,1,3B,IF,POSTED,8.96,9.16,9.69,7.67,0.14,0.137,48.0,136,3,1.0,0.265,0.162,0.978,3.71,False,691406,True,1,2,30,83
Jonny DeLuca,TB,C,6,1,CF,OF,POSTED,7.4,7.57,7.71,7.13,0.092,0.09,27.0,65,6,0.73,0.108,0.262,0.978,3.71,False,676356,False,1,2,66,84
Ryan Vilade,TB,C,4,1,RF,OF,POSTED,7.37,7.54,7.69,7.87,0.098,0.096,25.0,51,4,0.33,0.176,0.196,0.978,3.71,False,668723,True,1,2,67,85
Chandler Simpson,TB,C,5,1,LF,OF,POSTED,7.02,7.18,7.12,7.47,0.025,0.024,24.0,121,5,1.0,0.0,0.165,0.978,3.71,False,802415,False,1,2,77,86
Yandy Díaz,TB,C,1,2,DH,DH?,POSTED,8.38,8.57,8.94,8.73,0.076,0.074,34.0,131,1,1.0,0.153,0.145,0.978,3.71,False,650490,False,3,2,38,87
Jonathan Aranda,TB,C,2,2,1B,IF,POSTED,8.01,8.19,8.45,6.73,0.062,0.061,28.0,128,2,0.93,0.133,0.148,0.978,3.71,False,666018,False,3,2,48,88
Jorge Mateo,TB,C,7,3,2B,IF,POSTED,6.56,6.71,6.13,4.2,0.044,0.043,23.0,45,9,0.47,0.089,0.444,0.978,3.71,False,622761,False,4,2,87,89
Taylor Walls,TB,C,9,3,SS,IF,POSTED,6.45,6.6,6.31,7.13,0.029,0.028,30.0,103,9,0.8,0.019,0.194,0.978,3.71,False,670764,False,4,2,90,90
Nick Fortes,TB,C,8,3,C,IF,POSTED,6.25,6.39,5.82,7.13,0.06,0.059,28.0,67,8,0.2,0.06,0.239,0.978,3.71,False,663743,False,4,2,99,91
Hunter Goodman,COL,C,3,1,DH,DH?,POSTED,8.13,9.14,9.79,8.0,0.156,0.139,46.0,109,4,0.27,0.33,0.229,0.889,3.24,False,696100,True,1,2,45,92
Mickey Moniak,COL,C,6,1,LF,OF,POSTED,7.36,8.28,8.72,5.53,0.141,0.125,36.0,85,2,0.87,0.247,0.165,0.889,3.24,False,666160,True,1,2,68,93
Willi Castro,COL,C,5,1,3B,IF,POSTED,7.29,8.2,8.52,9.27,0.056,0.05,49.0,108,3,0.93,0.139,0.148,0.889,3.24,False,650489,False,1,2,70,94
TJ Rumfield,COL,C,4,1,1B,IF,POSTED,6.94,7.81,7.96,6.4,0.057,0.051,29.0,123,4,0.87,0.098,0.171,0.889,3.24,False,681198,False,1,2,79,95
Jake McCarthy,COL,C,1,2,CF,OF,POSTED,7.74,8.71,9.19,6.27,0.097,0.086,48.0,113,1,1.0,0.124,0.159,0.889,3.24,False,664983,False,3,2,57,96
Connor Norby,COL,C,2,2,2B,IF,POSTED,5.91,6.65,6.26,6.2,0.014,0.012,21.0,73,6,0.8,0.055,0.178,0.889,3.24,False,681393,False,3,2,115,97
Troy Johnston,COL,C,7,3,RF,OF,POSTED,6.35,7.14,7.05,5.2,0.032,0.028,33.0,95,8,0.33,0.032,0.158,0.889,3.24,False,687859,False,4,2,96,98
Ryan Ritter,COL,C,9,3,SS,IF,POSTED,6.25,7.03,2.67,2.67,0.0,0.0,6.0,3,9,0.13,0.0,0.333,0.889,3.24,False,690022,False,4,2,100,99
Brett Sullivan,COL,C,8,3,C,IF,POSTED,6.18,6.95,6.61,9.07,0.102,0.091,31.0,49,8,0.67,0.122,0.286,0.889,3.24,False,664954,False,4,2,102,100
George Springer,TOR,C,4,1,DH,DH?,POSTED,6.73,8.07,8.37,10.07,0.092,0.077,30.0,98,4,0.67,0.143,0.163,0.834,3.19,False,543807,True,1,2,83,101
Kazuma Okamoto,TOR,C,6,1,3B,IF,POSTED,6.53,7.83,7.98,8.8,0.124,0.103,35.0,129,5,1.0,0.202,0.233,0.834,3.19,False,672960,True,1,2,89,102
Alejandro Kirk,TOR,C,3,1,C,IF,POSTED,6.36,7.62,7.81,10.67,0.056,0.047,29.0,54,3,0.8,0.13,0.148,0.834,3.19,False,672386,False,1,2,94,103
Nathan Lukes,TOR,C,5,1,RF,OF,POSTED,5.5,6.59,6.21,7.27,0.025,0.021,23.0,81,2,0.67,0.099,0.235,0.834,3.19,False,664770,False,1,2,134,104
Brett Bateman,TOR,C,1,2,CF,OF,POSTED,6.34,7.6,8.18,8.2,0.0,0.0,19.0,17,1,0.8,0.0,0.118,0.834,3.19,False,703520,False,3,2,98,105
Vladimir Guerrero Jr.,TOR,C,2,2,1B,IF,POSTED,6.05,7.25,7.21,5.8,0.041,0.034,28.0,121,3,0.6,0.058,0.198,0.834,3.19,False,665489,False,3,2,110,106
Andrés Giménez,TOR,C,7,3,SS,IF,POSTED,5.81,6.97,6.83,7.87,0.054,0.045,34.0,112,6,0.67,0.08,0.232,0.834,3.19,False,665926,False,4,2,119,107
Charles McAdoo,TOR,C,8,3,2B,IF,POSTED,5.81,6.97,6.2,6.53,0.05,0.042,22.0,20,1,0.73,0.1,0.2,0.834,3.19,False,807727,False,4,2,120,108
Myles Straw,TOR,C,9,3,LF,OF,POSTED,5.3,6.36,5.7,6.13,0.017,0.014,24.0,60,9,0.67,0.017,0.317,0.834,3.19,False,664702,False,4,2,145,109
Jordan Walker,STL,C,4,1,RF,OF,POSTED,8.03,9.38,9.99,11.33,0.119,0.102,35.0,135,4,1.0,0.215,0.141,0.856,3.12,False,691023,True,1,2,47,110
Alec Burleson,STL,C,3,1,1B,IF,POSTED,7.63,8.91,9.39,9.93,0.114,0.098,48.0,132,3,0.93,0.159,0.182,0.856,3.12,False,676475,True,1,2,60,111
José Fermín,STL,C,6,1,2B,IF,POSTED,5.59,6.53,6.04,7.27,0.029,0.025,28.0,68,8,0.67,0.074,0.294,0.856,3.12,False,665877,False,1,2,128,112
Nolan Gorman,STL,C,5,1,DH,DH?,POSTED,5.5,6.42,5.78,3.0,0.0,0.0,19.0,58,7,0.2,0.103,0.241,0.856,3.12,False,669357,False,1,2,135,113
Iván Herrera,STL,C,2,2,C,IF,POSTED,7.0,8.18,8.42,5.73,0.072,0.062,36.0,138,2,1.0,0.109,0.159,0.856,3.12,False,671056,False,3,2,78,114
Bryan Torres,STL,C,1,2,LF,OF,POSTED,5.75,6.72,5.97,5.13,0.059,0.051,22.0,34,7,0.33,0.118,0.235,0.856,3.12,False,663494,False,3,2,121,115
Ramón Urías,STL,C,8,3,3B,IF,POSTED,5.83,6.81,5.76,4.8,0.095,0.081,29.0,21,8,0.2,0.143,0.333,0.856,3.12,False,602104,False,4,2,117,116
Nathan Church,STL,C,7,3,CF,OF,POSTED,5.58,6.52,6.18,6.53,0.051,0.044,32.0,99,6,0.67,0.091,0.263,0.856,3.12,False,701675,False,4,2,129,117
Thomas Saggese,STL,C,9,3,SS,IF,POSTED,5.38,6.29,4.36,3.47,0.0,0.0,17.0,22,8,0.0,0.045,0.364,0.856,3.12,False,695336,False,4,2,140,118
Luis García Jr.,NYY,C,4,1,DH,DH?,POSTED,6.69,8.72,9.25,8.87,0.136,0.104,42.0,103,4,0.8,0.252,0.262,0.767,2.89,False,671277,True,1,2,84,119
Trent Grisham,NYY,C,6,1,CF,OF,POSTED,6.15,8.02,8.28,10.13,0.135,0.104,40.0,104,1,0.93,0.163,0.24,0.767,2.89,False,663757,False,1,2,104,120
Heliot Ramos,NYY,C,3,1,RF,OF,POSTED,5.36,6.99,6.84,3.53,0.066,0.051,44.0,91,3,0.73,0.099,0.242,0.767,2.89,False,671218,False,1,2,141,121
Amed Rosario,NYY,C,5,1,3B,IF,POSTED,5.14,6.7,6.2,3.4,0.078,0.06,40.0,51,3,0.13,0.176,0.275,0.767,2.89,False,642708,False,1,2,148,122
Paul Goldschmidt,NYY,C,1,2,1B,IF,POSTED,5.97,7.79,8.03,4.87,0.08,0.061,29.0,75,1,0.2,0.227,0.267,0.767,2.89,False,502671,True,2,2,114,123
Cody Bellinger,NYY,C,2,2,LF,OF,POSTED,6.17,8.04,8.3,6.47,0.065,0.05,47.0,108,4,0.33,0.111,0.194,0.767,2.89,False,641355,False,3,2,103,124
Jazz Chisholm Jr.,NYY,C,8,3,2B,IF,POSTED,6.12,7.98,8.18,8.13,0.075,0.058,34.0,120,7,0.8,0.15,0.233,0.767,2.89,False,665862,False,4,2,106,125
José Caballero,NYY,C,7,3,SS,IF,POSTED,5.61,7.32,7.3,7.2,0.039,0.03,32.0,102,9,0.73,0.118,0.216,0.767,2.89,False,676609,False,4,2,127,126
Ali Sánchez,NYY,C,9,3,C,IF,POSTED,4.72,6.15,4.04,3.67,0.0,0.0,18.0,23,9,0.2,0.043,0.435,0.767,2.89,False,645305,False,4,2,164,127
Kevin McGonigle,DET,C,3,1,3B,IF,POSTED,7.22,8.72,9.14,7.4,0.099,0.082,27.0,131,3,1.0,0.107,0.115,0.828,2.88,False,805808,False,1,2,72,128
Dillon Dingler,DET,C,4,1,C,IF,POSTED,7.09,8.56,8.97,2.8,0.118,0.098,45.0,119,4,0.87,0.227,0.193,0.828,2.88,False,693307,True,1,2,75,129
Brett Callahan,DET,C,5,1,LF,OF,POSTED,6.04,7.3,7.0,7.0,0.0,0.0,17.0,7,7,0.47,0.143,0.143,0.828,2.88,False,814430,True,1,2,111,130
Zach McKinstry,DET,C,6,1,RF,OF,POSTED,5.09,6.15,5.61,5.07,0.022,0.018,21.0,89,5,0.6,0.045,0.225,0.828,2.88,False,656716,False,1,2,151,131
Gleyber Torres,DET,C,1,2,2B,IF,POSTED,6.59,7.96,8.28,7.47,0.066,0.055,28.0,76,1,0.93,0.105,0.171,0.828,2.88,False,650402,False,3,2,85,132
Colt Keith,DET,C,2,2,1B,IF,POSTED,5.72,6.91,6.71,6.67,0.044,0.036,51.0,91,5,0.53,0.099,0.253,0.828,2.88,False,690993,False,3,2,122,133
Max Clark,DET,C,8,3,CF,OF,POSTED,6.12,7.39,7.44,6.07,0.04,0.033,24.0,25,8,0.93,0.08,0.2,0.828,2.88,False,703601,False,4,2,107,134
Javier Báez,DET,C,9,3,SS,IF,POSTED,5.56,6.72,6.14,4.93,0.0,0.0,19.0,44,9,0.73,0.045,0.273,0.828,2.88,False,595879,False,4,2,132,135
Hao-Yu Lee,DET,C,7,3,DH,DH?,POSTED,5.4,6.52,6.0,6.8,0.031,0.026,22.0,65,2,0.8,0.092,0.277,0.828,2.88,False,701678,False,4,2,138,136
José Ramírez,CLE,C,3,1,DH,DH?,POSTED,5.68,8.6,9.09,7.67,0.108,0.071,32.0,102,3,0.87,0.098,0.176,0.66,2.73,False,608070,False,1,2,124,137
Travis Bazzana,CLE,C,6,1,2B,IF,POSTED,5.13,7.77,7.93,5.27,0.089,0.059,42.0,101,7,0.87,0.089,0.238,0.66,2.73,False,683953,False,1,2,149,138
Nathaniel Lowe,CLE,C,5,1,1B,IF,POSTED,5.07,7.68,7.84,5.67,0.07,0.046,32.0,86,5,0.87,0.174,0.186,0.66,2.73,False,663993,True,1,2,152,139
Jo Adell,CLE,C,4,1,LF,OF,POSTED,4.93,7.47,7.51,10.13,0.094,0.062,39.0,128,4,0.8,0.156,0.281,0.66,2.73,False,666176,True,1,2,159,140
Chase DeLauter,CLE,C,2,2,RF,OF,POSTED,5.45,8.26,8.59,8.93,0.09,0.059,33.0,111,2,0.6,0.117,0.135,0.66,2.73,False,800050,False,3,2,137,141
